good,original_value,updated_value,original_unit,updated_unit,reason
Stone,2,1,pallet,pallet,"Bulky common building stone should sit with wood and grain as a low unit-value cargo."
Marble,6,8,pallet,pallet,"Marble stays far above common stone because quarrying, finish, and prestige matter."
Iron,3,4,wagon,wagon,"Iron is a strategic ore and should be above common bulk goods."
Copper,4,5,wagon,wagon,"Copper remains above iron as a scarcer non-ferrous metal."
Tin,4,6,wagon,wagon,"Tin is made slightly scarcer than copper to support bronze as a higher-value alloy."
Silver,8,20,bullion,bullion,"Silver bullion was too close to ordinary luxury cargo; raised as portable money-metal."
Gold,15,40,bullion,bullion,"Gold bullion was underpriced against silver and luxury goods; raised to top-tier portable value."
Cattle,2,5,head,head,"A cow or ox should be materially more valuable than a sheep and closer to a household asset."
Wine,2,5,barrel,barrel,"Wine should be a regional premium drink and trade cargo, not equal to common food."
Olives,2,3,barrel,barrel,"Olives and olive oil regions should have more value than staple grain without becoming luxury cargo."
Honey,2,4,barrel,barrel,"Honey has preservative, sweetener, wax, and ritual uses, so it belongs above staple food."
Salt,2,3,bag,bag,"Salt is a preservation utility good and should be above ordinary food."
Dates,2,7,wain,chest,"Dates are mainly Middle Eastern or North African in a Europe-like economy; changed to a smaller imported chest."
Horses,5,10,head,head,"Ordinary riding or draft horses should be above cattle; warhorses would be a separate higher tier."
Elephants,7,30,head,head,"Elephants are rare military prestige animals with extreme care and transport costs."
Camels,5,12,head,head,"Camels should sit slightly above ordinary horses in Europe-like markets due to regional scarcity."
Pearls,13,18,pearl,pearl,"Pearls remain compact high-value luxury cargo."
Gemstones,15,20,gem,gem,"Gemstones should sit near pearls and below gold-weight or finished jewelry."
Dyes,5,8,bag,bag,"Quality dyes were valuable specialty inputs for textile luxury production."
Incense,10,12,chest,chest,"Incense remains an imported ritual luxury, above dyes but below silk and spices."
Silk,9,16,bolt,bolt,"Silk should be a high-value imported luxury textile."
Spices,14,18,chest,chest,"Spices should be among the best compact import cargos."
Amber,7,8,stone,stone,"Amber stays a moderate luxury material below gems and pearls."
Furs,4,6,pelt,pelt,"Furs should be above ordinary cloth inputs because they are regional luxury apparel material."
Sheep,2,1,head,head,"A single sheep should be cheaper than cattle and horses, while still useful through wool production."
Slaves,7,10,slave,slave,"Human forced labor is treated as a high-value labor asset in the game economy."
Tar,3,2,barrel,barrel,"Tar is a naval utility input but should not outprice salt, honey, or metal ores."
Saltpeter,2,4,barrel,barrel,"Saltpeter is a constrained military mineral input and should be above common bulk minerals."
Coal,3,2,wain,wain,"Coal is useful fuel but bulky and locally consumed, so its unit value should be modest."
Oil,3,4,barrel,barrel,"Oil is a more valuable fuel and craft input than coal or tar."
Mahogany,7,10,pile,pile,"Tropical timber should be a rarer prestige material above ordinary wood and marble-adjacent cargo."
Whales,1,3,barrel,barrel,"Whale products represent oil, meat, and baleen rather than ordinary fresh fish."
Tea,5,10,bag,bag,"Tea is an imported luxury in a 1200-1500 Europe-like economy."
Tobacco,5,8,bag,bag,"Tobacco is treated as a rare luxury import rather than a local staple."
Leather,4,6,roll,roll,"Leather should exceed common animal inputs and support boots and harnesses."
Cloth,4,5,bolt,bolt,"Cloth should be a modest manufactured good above sheep or hemp."
Garments,9,12,set,set,"Finished clothing should carry clear craft value above cloth, dyes, and furs."
Ceramics,6,4,wain,wain,"Ceramics are skilled but common storage goods, so the old value was too high."
Glass,7,6,wain,wain,"Glass remains a skilled luxury craft but below garments and books."
Ropes,4,3,coil,coil,"Rope is useful naval material but close to hemp and barrels in value."
Paper,4,5,ream,ream,"Paper is a skilled educational and administrative input above hemp."
Ink,5,7,bottle,bottle,"Ink should sit above oil or dyes as a concentrated writing input."
Books,12,18,volume,volume,"Books require paper, ink, binding, literacy, and labor, so they should be a high luxury."
Sails,7,8,set,set,"Sails should be above cloth as large worked naval textile sets."
Ships,20,80,ship,ship,"A ship is a major capital asset requiring timber, rope, sailcloth, tar, labor, and facilities."
Boots,6,7,pair,pair,"Boots should be slightly above leather as a finished utility good."
Harnesses,8,10,set,set,"Harnesses combine leather and metal work and support military logistics."
Barrels,3,2,barrel,barrel,"Barrels are common wooden storage goods and should be close to wood."
Bronze,9,8,wagon,wagon,"Bronze remains above copper or tin inputs but below finished tools and arms."
Tools,17,14,set,set,"Tools are important finished metal goods but should not approach arms or books."
Arms,22,24,set,set,"Arms should stay above tools because of military-grade metalwork and fittings."
Gunpowder,10,12,barrel,barrel,"Gunpowder should be above saltpeter and coal as a processed military consumable."
Artillery,21,70,cannon,cannon,"Late medieval artillery is a specialized metalworking and logistics asset, well above arms."
Coins,25,45,bag,bag,"Coins should track precious metal content and minting premium, above raw gold half-bullion recipes."
Jewelry,34,55,piece,piece,"Jewelry combines precious stones or metals with skilled craft and prestige markup."
Preserved food,4,5,wain,wain,"Preserved food should be above fresh staple food because salt, vinegar, or smoking adds utility."
Vinegar,2,4,barrel,barrel,"Vinegar is a preservative input and should not be below the wine or honey routes that produce it."
Cheese,4,5,wain,wain,"Cheese should carry preservation and dairy craft value above raw animal food."
Beer,7,3,barrel,barrel,"Beer or ale should generally be cheaper and more local than wine."
Liquor,9,12,vessel,vessel,"Distilled or strong liquor should be above beer and wine as a higher-value processed drink."
Candles,8,10,block,block,"Candles consume wax or oil and serve lighting and ritual demand, so they need a craft premium."
Soap,5,6,barrel,barrel,"Soap should sit just above olive or animal-fat inputs as a modest luxury utility."
Perfume,18,28,bottle,bottle,"Perfume is compact, skilled, and uses exotic inputs, so it belongs high in the luxury tier."
