id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
handaxe,Handaxe,ハンドアックス,hatchet,main_hand,main_hand,1H,axe_thrown,30-50,0.5-1.0,universal,Stone Age onward,both,D&D handaxe,投擲可の片手斧
battleaxe,Battleaxe,バトルアックス,war axe 1H,main_hand,main_hand,1H,axe,60-90,0.8-1.5,universal,Iron Age-Medieval,both,D&D battleaxe versatile,RPGでは versatil が多い。実在の片手戦斧は1-1.5kg程度
greataxe,Greataxe,グレートアックス,two-handed axe,two_hand,main_hand+off_hand,2H,axe,120-160,1.8-3.0,Northern Europe / rpg,Viking analog,both,D&D greataxe 7lb,ゲームの7lbは重め。実在両手斧は2-3kgが多い
dane_axe,Dane axe,デーンアックス,Danish axe; long axe,two_hand,main_hand+off_hand,2H,thin_bearded_or_wide,120-170,1.5-2.5,Scandinavia / England,10C-12C,both,Viking RPGs,薄い刃で意外と軽い。ハスカール
bearded_axe,Bearded axe,ビアデッドアックス,skeggox,main_hand,main_hand,1H,bearded,50-80,0.7-1.3,Northern Europe,Viking,both,,顎状の刃で手が滑りにくい
francisca,Francisca,フランキスカ,Frankish throwing axe,main_hand,main_hand or ammo,thrown_1H,thrown_axe,40-50,0.5-0.9,Frankish Europe,5C-8C,both,throwing axe,投擲専用に近い戦斧
tomahawk,Tomahawk,トマホーク,,main_hand,main_hand,1H,axe_thrown,40-60,0.4-0.9,North America,Early Modern,both,colonial fantasy,RPGでは投擲斧枠
sagaris,Sagaris,サガリス,Scythian axe,main_hand,main_hand,1H,pick_or_axe,50-70,0.6-1.2,Steppe,Iron Age,historical,,スキタイ・ペルシア
labrys,Labrys,ラブリュス,double axe,two_hand,main_hand+off_hand,2H,double_bitted,80-120,1.5-3.0,Aegean,Bronze Age,legendary/historical,ritual,儀礼斧のイメージが強い
parashu,Parashu,パラシュ,Indian battle axe,main_hand,main_hand or 2H,1H or 2H,axe,70-120,1.0-2.5,India,Ancient-Medieval,both,Hindu myth RPGs,
