id,name_en,name_ja,alt_names,slot,occupies,shape,grip,height_cm,width_or_diameter_cm,weight_kg,weight_class,size_class,coverage,construction,origin_region,period,attestation,tradition,associated_figure,source_text,rpg_examples,notes
aegis,Aegis,アイギス,aigis; goat-skin of Zeus,shield or body,off_hand or chest,round with gorgoneion and snake tassels,armband or worn as breastplate,literary,literary,legendary,n/a,medium_to_large,torso,goatskin / divine metal with Medusa head,Greece,Homeric,mythology,Greek,Zeus; Athena; sometimes Apollo,Iliad; later vase painting,FF イージス; DQ 聖なる盾,盾・胸甲・山羊皮のマントとして描写が揺れる。振るうと雷雲と恐怖。フィクションの型名ではなく固有神器
achilles_shield,Shield of Achilles,アキレウスの盾,Hephaestus shield,shield,off_hand,round concentric cosmos,armband,literary large,literary,legendary heavy,heavy,large,torso to thigh,five layers bronze-tin-gold (Iliad),Greece,Homeric,epic,Greek,Achilles; Hephaestus,Iliad 18,rare,中央に大地・天・海、周縁にオケアノス。金の層が槍を止める。サイズは「大きく重い」とだけ
ajax_shield,Shield of Ajax,アイアースの盾,sevenfold shield,shield,off_hand,tower-like body shield,telamon strap plus grip,full-body literary,literary,legendary very heavy,very_heavy,large,almost full body,seven oxhides plus bronze face,Greece,Homeric,epic,Greek,Ajax the Greater,Iliad,tower-shield analog,ミケーネの体盾に近い文学描写。ヘクトルの槍が六層まで貫き七層目で止まる
heracles_shield,Shield of Heracles,ヘーラクレースの盾,Aspis of Herakles,shield,off_hand,round ornate,armband,literary,literary,legendary,heavy,large,torso,bronze divine,Greece,Archaic,epic,Greek,Heracles,Hesiodic Shield of Heracles,rare,ヘーシオドス派の長詩が図像を詳述。ヘパイストス作
ancile,Ancile,アンキレ,ancilia,shield,off_hand or sanctuary,figure-eight or oval sacred,n/a (sacred object),literary,literary,n/a,n/a,medium,sacred,bronze fallen from heaven,Rome,Regal legend,mythology,Roman,Mars; Numa Pompilius,Plutarch Numa; Dionysius of Halicarnassus,rare,天から落ちたマルスの盾。ヌマが十一枚の写しを作らせ盗難を防ぐ。サリア祭司が運ぶ
pridwen,Pridwen,プリドウェン,Wynebgwrthucher,shield,off_hand,knightly,enarmes,literary,literary,n/a,n/a,medium,torso,literary,Britain / Wales,Medieval,epic,Arthurian,Arthur,Historia Brittonum; Culhwch; later lists,rare,アーサーの盾。船名と混線することもある。ウェールズ名は「evening-face」
svalinn,Svalinn,スヴァリン,cool sun-shield,shield,n/a (cosmic),cosmic disc,n/a,n/a,n/a,n/a,n/a,cosmic,sun,divine,Scandinavia,Medieval,mythology,Norse,stands before the sun,Grímnismál,rare,太陽の前に立つ盾。なければ山も海も燃える。個人装備ではない
perseus_mirror_shield,Mirror shield of Perseus,ペルセウスの鏡盾,Athena's polished shield,shield,off_hand,round polished bronze,armband,aspis-like 80-100,80-100,6-8 if aspis analog,heavy,large,torso,polished bronze,Greece,later myth,mythology,Greek,Perseus; Athena,Ovid Met. and later retellings,Zelda Mirror Shield analog,古典ではアイギスやメドゥサの首が主。磨いた盾で顔を見る話は後世に定着
shield_of_evalach,Shield of Evalach,エヴァラックの盾,Joseph of Arimathea shield,shield,off_hand,knightly with red cross,enarmes,literary,literary,n/a,n/a,medium,torso,wood and relic,Britain,Grail cycles,religious_legend,Arthurian / Grail,Evalach; Galahad,Queste del Saint Graal,rare,白地に十字架。ガラハッドが最後に帯びる
gorgoneion_shield,Gorgoneion (on shield),ゴルゴネイオン,Medusa head device,shield,off_hand,round with apotropaic face,armband,varies,varies,n/a,n/a,medium,torso,painted or bronze face,Greece,Archaic onward,mythology,Greek,Athena,vase painting; Iliad aegis,RPG gorgon shields,盾の文様としても独立。敵を石にする／退ける
aegis_athena_wearable,Aegis as breastplate,アイギス（胸甲）,see aegis,body,chest,goatskin with snakes,worn,n/a,n/a,n/a,n/a,n/a,chest,goatskin,Greece,Classical art,mythology,Greek,Athena,sculpture and vase,same,彫刻ではアテナが胸に着ける。スロットは shield より body に近い
yata_no_kagami_as_mirror,Yata no Kagami,八咫鏡,sacred mirror,off_hand or sanctuary,off_hand,round mirror,held or enshrined,literary large,literary,n/a,n/a,medium,n/a,bronze mirror,Japan,Kojiki,mythology,Shinto,Amaterasu; Imperial house,Kojiki; Nihon Shoki,rare as shield,三種の神器。盾ではなく鏡。天岩戸でアマテラスを映す。装備欄では off_hand / accessory
shield_of_lancelot,Shield of Lancelot,ランスロットの盾,bohord shield with bend,shield,off_hand,heater,enarmes,heater analog 50-70,40-55,2-4 if historical analog,light,medium,torso,heraldic,France / Britain,Medieval,epic,Arthurian,Lancelot,prose Lancelot,rare,隠された紋。物語上の認識装置であり神器ではない
cid_shield,El Cid's shield,エル・シドの盾,,shield,off_hand,medieval Iberian,enarmes,literary,literary,n/a,n/a,medium,torso,literary,Iberia,Medieval,epic,Spanish epic,El Cid,Cantar de mio Cid,rare,剣ほど固有名が固定しない
achilles_first_armor_shield,Patroclus' borrowed panoply,パトロクロスが借りた最初の一式,Peleus' set,shield,off_hand,round,armband,literary,literary,legendary,heavy,large,torso,divine bronze,Greece,Homeric,epic,Greek,Achilles; Patroclus; Hector,Iliad 16-17,rare,ヘパイストス作の新盾の前に、ヘクトルが奪う旧装備の一部
