id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,rpg_examples,notes
khopesh,Khopesh,コペシュ,khepesh; sickle-sword,main_hand,main_hand,1H,sickle-sword,50-70,0.7-1.3,Egypt / Levant,Bronze Age,both,D&D khopesh,内側に湾曲した刃。斧と剣の中間
naue_ii,Naue II sword,ナウエII型剣,grip-tongue sword,main_hand,main_hand,1H,straight_double,60-85,0.7-1.2,Europe,Late Bronze Age,historical,,欧州青銅器末の標準剣
xiphos,Xiphos,クシフォス,greek short sword,main_hand,main_hand,1H,straight_double,50-70,0.7-1.1,Greece,Archaic-Classical,both,hoplite sidearm,葉形刃の短剣。主武器は槍
kopis,Kopis,コピス,cleaver sword,main_hand,main_hand,1H,forward_curved,50-70,0.8-1.3,Greece,Classical-Hellenistic,historical,D&D kopis,前方加重の片手刀。騎兵向き
machaira,Machaira,マカイラ,makhaira,main_hand,main_hand,1H,forward_curved,45-70,0.7-1.2,Greece,Classical,historical,,コピスと文献上ほぼ同義に使われる
falcata,Falcata,ファルカタ,hispanic saber,main_hand,main_hand,1H,forward_curved,50-70,0.8-1.4,Iberia,Iron Age,both,D&D falcata,イベリアの内反刀。スクトゥムを裂いた記録あり
gladius_hispaniensis,Gladius Hispaniensis,グラディウス・ヒスパニエンシス,early gladius,main_hand,main_hand,1H,straight_double,75-85,0.9-1.3,Rome / Iberia,3C-1C BC,historical,,最長のグラディウス型
gladius_mainz,Mainz gladius,マインツ型グラディウス,,main_hand,main_hand,1H,straight_double,65-75,0.8-1.2,Rome,1C BC-1C AD,historical,,長い切先と腰
gladius_pompeii,Pompeii gladius,ポンペイ型グラディウス,gladius,main_hand,main_hand,1H,straight_double,60-70,0.7-1.1,Rome,1C-3C AD,both,D&D shortsword analog,平行刃の短剣。盾と組む突き主体
spatha,Spatha,スパタ,late roman long sword,main_hand,main_hand,1H,straight_double,75-100,0.9-1.4,Rome,1C-5C,both,TES Imperial sword,騎兵から歩兵へ。中世剣の祖
seax,Seax,セアックス,sax; scramasax,main_hand,main_hand,1H,single_edge_knife_sword,20-80,0.3-1.2,Northern Europe,Migration-Viking,both,short seax as dagger,短はナイフ、長は剣代用
viking_sword,Viking / Carolingian sword,ヴァイキング剣,Norse sword; Petersen types,main_hand,main_hand,1H,straight_double,90-100,0.9-1.4,Northern Europe,8C-11C,both,Skyrim iron/steel sword,片手両刃。円盾と組む
arming_sword,Arming sword,アーミングソード,knightly sword; knight's sword,main_hand,main_hand,1H,straight_double,90-105,0.9-1.3,Western Europe,High Medieval,both,D&D longsword (confusingly),盾と組む騎士の片手剣。RPGのロングソードはこちらを指すことが多い
longsword,Longsword,ロングソード,hand-and-a-half; bastard sword; langschwert,two_hand,main_hand+off_hand,versatile_2H,straight_double,110-140,1.2-1.8,Western Europe,Late Medieval,both,D&D greatsword is heavier; souls longsword,両手または片手半。RPGの「ロングソード」より長い
bastard_sword,Bastard sword,バスタードソード,hand-and-a-half,two_hand,main_hand or both,versatile,straight_double,110-130,1.2-1.7,Western Europe,14C-16C,both,D&D bastard; FF,longsword とほぼ同型のRPG名
greatsword,Greatsword,グレートソード,two-handed sword,two_hand,main_hand+off_hand,2H,straight_double,140-175,1.8-3.0,Western Europe,15C-16C,both,D&D greatsword 6lb; DQ,実在両手剣は2kg前後が多く、ゲームの6lbは重め
zweihander,Zweihänder,ツヴァイヘンダー,bidenhänder; flamberge (wavy),two_hand,main_hand+off_hand,2H,straight_double,150-180,2.0-3.5,German lands,16C,both,FF Zweihander; Dark Souls,ランツクネヒト。波刃はフランベルジェ
claymore,Claymore,クレイモア,claidheamh-mòr,two_hand,main_hand+off_hand,2H,straight_double,140-160,2.0-2.8,Scotland,15C-17C,both,DQ クレイモア,Highland 両手剣。後世のバスケットヒルトとは別
basket_hilt_broadsword,Basket-hilt broadsword,バスケットヒルト・ブロードソード,Highland broadsword,main_hand,main_hand,1H,straight_double,90-110,1.0-1.5,Britain,17C-18C,historical,RPG broadsword,籠手護拳の片手両刃
