id,historical_year,year_basis,technology_id,technology_name_en,technology_name_ja,historical_output_en,historical_output_ja,game_output_id,game_output_name_en,game_output_name_ja,game_output_category,source_url,notes
1,1709,first documented coke-fuelled iron smelting,coalCarbonization,Coke-fuelled blast furnace,コークス高炉製錬,Coke and pig iron,コークスと銑鉄,Coke;Iron Ingot,Coke;Iron Ingot,コークス;鉄インゴット,intermediate Good; existing intermediate Good,https://www.ironbridge.org.uk/our-story/the-iron-bridge/,Darby began using coke instead of charcoal at Coalbrookdale. This is a precondition for the steam-industrial chain rather than a consequence of a steam engine.
2,1712,first practical engine erected,atmosphericSteamPumping,Newcomen atmospheric engine,ニューコメン大気圧機関,Mine drainage engine,鉱山排水機関,Atmospheric Mine Pump,Atmospheric Mine Pump,大気圧排水機関,installed capital asset,https://blog.sciencemuseum.org.uk/a-new-age/,The first engine was erected near Dudley Castle for mine drainage. It corresponds to the roadmap's initial mine-only steam application.
3,1746,large-scale process introduced,industrialSulfuricAcid,Lead-chamber process,鉛室法,Industrial sulfuric acid,工業用硫酸,Sulfuric Acid,Sulfuric Acid,硫酸,intermediate Good,https://pubs.acs.org/subscribe/archive/tcaw/10/i09/html/09chemch.html,Roebuck's lead-lined chambers increased batch size greatly. It is an early chemical-industry precursor; it does not require a steam-engine unlock in the game.
4,1769,patent granted,condensateEfficiency,Watt separate condenser,ワットの復水器,More fuel-efficient stationary steam engine,燃料効率の高い定置式蒸気機関,Stationary Steam Engine;Steam Power,Stationary Steam Engine;Steam Power,定置式蒸気機関;蒸気動力,capital Good; capacity service,https://blog.sciencemuseum.org.uk/james-watt-and-the-separate-condenser/,The separate-condenser patent reduced coal use and made fixed engines practical beyond mines.
5,1770,patent year,mechanizedSpinning,Spinning jenny,ジェニー紡績機,Mechanically spun yarn,機械紡績糸,Spun Yarn;Spinning Frame,Spun Yarn;Spinning Frame,紡績糸;紡績機,intermediate Good; capital Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,The Department of Energy timeline dates Hargreaves's spinning-jenny patent to 1770. The game maps the result to yarn plus a spinning capital asset rather than a separate consumer good.
6,1782,invention,rotarySteamPower,Watt rotary steam engine,ワット回転式蒸気機関,Rotary factory power,工場用回転動力,Steam Power,Steam Power,蒸気動力,capacity service,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,Rotary output is the bridge from mine pumps to factory machinery; do not treat it as an ordinary market inventory.
7,1785,first steam-powered textile plant,mechanizedWeaving,Steam-powered textile mill,蒸気動力繊維工場,Mechanized cloth production,機械化された布生産,Power Loom;Cloth,Power Loom;Cloth,力織機;布,capital Good; existing final Good,https://www.energy.gov/sites/prod/files/2014/06/f16/lesson300.pdf,"The timeline records the first English textile plant powered by steam. Cloth remains the existing finished Good, while the new chain changes its recipe and capacity."
8,1804,first steam-engine railway journey,steamTransport,Trevithick high-pressure locomotive,トレビシック高圧蒸気機関車,Steam locomotive,蒸気機関車,Locomotive,Locomotive,機関車,capital Good,https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/17/06/04/49/2017060449/2017060449.pdf,The first true steam-engine railway journey occurred at a Welsh ironworks. It is a demonstration milestone rather than immediate network-wide adoption.
9,1807,first commercially successful service,steamNavigation,Fulton North River Steamboat (Clermont),フルトンのノース・リバー蒸気船（クラーモント）,Commercial paddle steamer,商業的外輪蒸気船,Marine Steam Engine;Steamship;Steamship service,Marine Steam Engine;Steamship;Steamship service,舶用蒸気機関;蒸気船;蒸気船航路サービス,capital Good; Shipbuilding asset; capacity service,https://www.americanhistory.si.edu/explore/exhibitions/america-on-the-move/online/transportation-1876,The first commercially successful steamboat was tested on the Hudson River in 1807. It proves reliable inland steam navigation and should consume Coal and Machine Parts while operating.
10,1819,first transatlantic voyage by a steamship,oceanSteamNavigation,SS Savannah transatlantic voyage,蒸気船サバンナ号の大西洋横断,Transatlantic steamship capability,大西洋横断蒸気船の実証,Marine Steam Engine;Steamship;Steamship service,Marine Steam Engine;Steamship;Steamship service,舶用蒸気機関;蒸気船;蒸気船航路サービス,capital Good; Shipbuilding asset; capacity service,https://tile.loc.gov/storage-services/master/pnp/habshaer/dc/dc1000/dc1047/data/dc1047data.pdf,Savannah completed a transatlantic voyage in 1819 but also used sails. Model it as an ocean-going demonstration rather than a fully adopted all-steam route.
11,1825,railway opened to locomotives and traffic,railwayOperations,Stockton and Darlington Railway,ストックトン・アンド・ダーリントン鉄道,Rail freight and passenger service,鉄道貨物・旅客サービス,Rail;Locomotive;Railway service,Rail;Locomotive;Railway service,レール;機関車;鉄道サービス,intermediate Good; capital Good; capacity service,https://tile.loc.gov/storage-services/master/gdc/gdcebookspublic/20/17/06/04/49/2017060449/2017060449.pdf,By 1825 locomotives hauled both coal and passengers on the line. In the game the network service requires rail rolling assets coal and maintenance every tick.
