id,name_en,name_ja,category,lock_type,required_climate,typical_origin,first_prominence,peak_era,modern_status,trade_character,historical_role,goods_data_status,existing_good,register_recommendation,priority,suggested_value_band,notes
pepper,Black pepper,胡椒,spice,climate,tropical monsoon; frost-intolerant,Malabar Coast (Kerala); later Sumatra/Java,antiquity–late medieval,12c–17c as volume king of Oriental spices,still a large bulk spice but no longer a geopolitical prize,compact_luxury,"Late-medieval Europe's main Oriental spice by volume and the cream of Italian long-distance trade. Venice re-exported thousands of tons annually; a pound cost more than two days' skilled wages in 15c England. Direct sea access to pepper (Calicut 1498) was a primary motive of the Portuguese Cape route.",umbrella,Spices,register_split,A,10-20,"Flagship of Spices (value 18). Splitting gives a recognisable import on Europe maps. Keep demandCoverage thin if Spices remains."
long-pepper,Long pepper,長胡椒,spice,climate,tropical India/SE Asia,India,medieval,medieval (displaced by black pepper),niche,compact_luxury,Dearer than black pepper in medieval Europe; later lost the market.,umbrella,Spices,keep_umbrella,C,10-20,Flavour only.
cinnamon,Cinnamon,肉桂,spice,climate,tropical island/monsoon forest,Sri Lanka (true cinnamon); China (cassia),antiquity–medieval,medieval–early modern,bulk grocery,compact_luxury,Second-rank medieval spice after pepper/ginger. Ceylon cinnamon was a Portuguese then Dutch prize.,umbrella,Spices,register_split,B,10-20,Split if Ceylon-vs-China flavour is wanted; else keep under Spices.
cloves,Cloves,丁子,spice,ecological_monopoly,everwet equatorial islands,Maluku (Ternate/Tidore) until 18c transplant,medieval,16c–18c VOC monopoly,plantation spice,compact_luxury,"Grown only in the Moluccas until the French and British smuggled seedlings. VOC enforced monopoly by force and destroyed surplus trees. A pound cost nearly five days' skilled wages in 15c England.",umbrella,Spices,register_split,A,10-20,Best single good for a 'Spice Island monopoly' story.
nutmeg,Nutmeg,ナツメグ,spice,ecological_monopoly,tiny equatorial islands,Banda Islands only until 18c,medieval,16c–18c VOC,plantation spice,compact_luxury,The narrowest luxury monopoly in the early-modern world. Bandanese society was destroyed to secure it. Mace is the aril of the same fruit.,umbrella,Spices,register_split,A,10-20,Pair with cloves. Mace can be a byproduct rather than its own Good.
mace,Mace,メース,spice,ecological_monopoly,same as nutmeg,Banda Islands,medieval,16c–18c,niche,compact_luxury,Same tree as nutmeg; sold separately at a premium.,umbrella,Spices,keep_umbrella,C,10-20,Byproduct of Nutmeg if nutmeg is split.
ginger,Ginger,生姜,spice,climate,tropical/subtropical,India; China,medieval,medieval (second to pepper by volume),grocery,compact_luxury,Household accounts (e.g. Duke of Buckingham) used pepper and ginger daily. Less geographically locked than cloves/nutmeg.,umbrella,Spices,keep_umbrella,C,10-20,
cardamom,Cardamom,カルダモン,spice,climate,tropical highland forest,Western Ghats; later Guatemala,medieval,long tail,grocery,compact_luxury,Persistent but never the volume king.,umbrella,Spices,keep_umbrella,C,10-20,
grains-of-paradise,Grains of paradise,パラダイスグレイン,spice,climate,West African forest,Upper Guinea (malagueta),15c Portuguese Atlantic,15c–16c,niche,compact_luxury,Early Atlantic substitute while the Cape route was opening.,umbrella,Spices,keep_umbrella,C,10-20,Useful as a West African cargo flavour.
cubeb,Cubeb,キューブブ,spice,climate,tropical,Java,medieval,medieval–16c,niche,compact_luxury,Java pepper; medieval apothecary spice.,umbrella,Spices,keep_umbrella,C,10-20,
vanilla,Vanilla,バニラ,spice,ecological_monopoly,tropical orchid plus specific pollinator,Mexico; later Réunion/Madagascar after hand pollination,17c–18c,19c–present,bulk flavour,compact_luxury,Mesoamerican orchid. Commercial production outside Mexico required hand pollination. Complements cacao.,missing,,register_new,B,10-20,Or leave under Spices. Distinctive enough to stand alone.
chili,Chili peppers,唐辛子,spice,none,frost-tender but naturalised widely,Americas then Old World,16c Columbian exchange,local crop after naturalisation,local crop,compact_luxury,Transformed Old World cooking but is not a lasting long-haul import once naturalised.,umbrella,Spices,skip_naturalized,—,3-8,Do not register as an extra-European import.
coffee,Coffee,コーヒー,stimulant,climate,tropical highland; no hard frost,Yemen (Mocha) then Java then Caribbean then Brazil,17c,18c coffee houses through present,one of the world's top tropical commodities,compact_luxury,"Yemeni mocha reached Europe in the 17c; estate cultivation then moved to Java, Bourbon, and the Antilles. Coffee houses were information exchanges. Brazil later made it a bulk staple.",missing,,register_new,A,10-20,"04 draft: value 10, highland biome 3/5/7. On Europe maps use chance 0 plus import stock."
tea,Tea,茶,stimulant,climate,subtropical highland; Camellia sinensis,China then Assam/Ceylon,17c,18c–19c China trade then plantation era,bulk beverage,compact_luxury,Core of the 18c China trade and the tea duties that helped spark the American Revolution. 19c plantations in Assam and Ceylon broke the China monopoly.,registered,Tea,already_registered,B,10-20,Already value 10. Current distribution almost never fires on Europe maps.
cacao,Cacao,カカオ,stimulant,climate,everwet tropics within ~20° of equator,Mesoamerica then West Africa/Brazil,16c (currency in Mesoamerica); 17c Europe,18c chocolate houses through present,bulk commodity,compact_luxury,Drink of Mesoamerican elites; European chocolate houses in the 17c–18c. Modern supply shifted to West Africa.,missing,,register_new,A,10-20,"04 draft: value 12, biome(7). chance 0 on Europe maps."
tobacco,Tobacco,タバコ,stimulant,partial,warm temperate to tropical; grows in biome 6,Virginia and Caribbean then Balkans/Ottoman,16c–17c,17c–19c plantation staple,still traded,compact_luxury,Virginia's cash crop and a triangular-trade return cargo. Not strictly climate-locked in Europe.,registered,Tobacco,already_registered,B,3-8,Current distribution includes temperate deciduous forest.
sugarcane,Sugarcane,サトウキビ,sweetener,climate,tropical frost-free,Mediterranean fringe then Atlantic islands then Brazil/Caribbean,medieval 'sweet salt',17c–19c plantation complex,bulk; beet sugar competes in Europe,bulk_commodity,Heart of the Atlantic plantation economy and the triangular trade. Displaced honey as the European sweetener.,registered,Sugarcane,already_registered,B,3-8,Rum = Liquor recipe on Sugarcane. Beet sugar is the European substitute and should stay a separate local path if added.
silk,Silk,絹,textile,partial,mulberry can grow in Mediterranean; current Good is biome(7),China then Italy/France sericulture,antiquity–medieval Silk Roads,medieval–18c China/Lyon,luxury niche,compact_luxury,The classic compact Asian luxury. Mediterranean sericulture never fully replaced Chinese and later Japanese export silk.,registered,Silk,already_registered,B,10-20,On Europe maps the biome(7) lock already makes it an import. Do not loosen distribution.
cotton,Cotton,綿,textile,partial,hot growing season; minTemp(20),India; later US South/Egypt,medieval Indian cloth; 18c raw cotton,18c–19c industrial staple,bulk fiber,bulk_commodity,Indian calico sparked a European consumer revolution and import bans. Raw cotton then fed the industrial revolution.,registered,Cotton,already_registered,B,3-8,Southern Europe may just qualify. Finished calico is Cloth with a Cotton recipe.
calico,Calico / muslin,キャラコ／モスリン,textile,artisan,Indian weaving skill more than climate,Gujarat/Bengal/Coromandel,17c–18c,18c Calico Acts era,replaced by mechanised cloth,manufactured_luxury,Printed Indian cotton undercut European woollens and triggered protectionism.,umbrella,Cloth,recipe_only,B,3-8,Do not add a separate Good; add { Cotton: 1 } to Cloth if missing.
jute,Jute,ジュート,textile,climate,hot wet alluvial plains,Bengal,mid-19c,1850–1914 packaging revolution,still a bulk fiber,bulk_commodity,Cheap sacking for grain wool and cotton cargoes. A Dundee–Bengal industrial pair.,missing,,register_new,B,1-2,Industrial-era gate. Low value high bulk.
indigo,Indigo,藍,dye,climate,tropical/subtropical indigofera,India then Carolina then India again,antiquity in Asia; 16c–18c Europe,17c–19c until synthetics (1897),replaced by synthetics,compact_luxury,Replaced European woad as the standard blue. A plantation dye and a major EIC/Atlantic cargo.,missing,,register_new,A,3-8,"04 draft value 9. Keep Dyes as local madder/woad. Optional Garments recipe variant."
cochineal,Cochineal,コチニール,dye,ecological_monopoly,nopal cactus insects,Mexico; later Canaries,16c,16c–19c (second only to silver among some New Spain exports),niche natural dye,compact_luxury,Scarlet dye; the process was a guarded secret. Far higher value density than vegetable dyes.,umbrella,Dyes,register_new,B,10-20,Register only if scarlet-vs-blue dye politics is wanted.
brazilwood,Brazilwood / sappan,ブラジルウッド,dye,climate,tropical dyewood,SE Asia (sappan) then Brazil,medieval sappan; 16c Brazil,16c–17c,exhausted / historic,bulk_commodity,Named Brazil. Early Portuguese Atlantic dye cargo before sugar took over.,umbrella,Dyes,keep_umbrella,C,3-8,
logwood,Logwood,ログウッド,dye,climate,tropical mangrove/coastal,Yucatán / Honduras,16c–17c,17c–18c,historic,bulk_commodity,Black/purple dye; Bay of Honduras logging camps were a geopolitical irritant.,umbrella,Dyes,keep_umbrella,C,3-8,
shellac,Lac / shellac,ラック／シェラック,dye,climate,tropical insect resin,India,medieval pigment; 19c industrial varnish,19c,still used,compact_luxury,Red lac dye and later a varnish/electrical insulator.,missing,,register_new,C,3-8,
incense,Frankincense / myrrh,乳香・没薬,incense,climate,arid tropical scrub,Arabia / Horn of Africa,antiquity,antiquity–medieval ritual; long tail,niche,compact_luxury,Church and apothecary demand. The incense road predates the spice boom.,registered,Incense,already_registered,B,10-20,Already value 12. Distribution is desert/hot forest.
sandalwood,Sandalwood,白檀,incense,climate,tropical dry woodland,India; Timor,medieval–early modern,early modern,restricted/luxury,compact_luxury,Perfume wood and carving material. Timor sandalwood was an early European eastern cargo.,missing,,register_new,B,10-20,Or keep under Incense.
