id,name_en,name_ja,alt_names,slot,occupies,shape,grip,height_cm,width_or_diameter_cm,weight_kg,weight_class,size_class,coverage,construction,origin_region,period,attestation,rpg_examples,notes
buckler,Buckler,バックラー,bokler; broquel,shield,off_hand,round (rarely square or trapezoid),fist grip behind boss or enarmes,15-45,15-45,0.5-2.0,very_light,small,fist to forearm,steel plate or wood with iron boss,Western Europe,High Medieval to Early Modern,both,D&D buckler; DQ バックラー; Dark Souls Target Shield,I.33 剣とバックラー術の主盾。腰に吊れる。パンチと受け流し用で体はほぼ覆わない。典型は直径 25-40cm・1kg前後
steel_buckler,Steel buckler,鉄バックラー,iron buckler,shield,off_hand,round convex,fist grip,20-35,20-35,0.8-1.8,very_light,small,fist,forged steel,Western Europe,14C-17C,historical,FF アイアンシールドの小型相当,木製より重いが割れにくい
wooden_buckler,Wooden buckler,木製バックラー,,shield,off_hand,round,fist grip,25-40,25-40,0.6-1.2,very_light,small,fist,wood with boss,Western Europe,13C-16C,historical,,軽量練習・民兵用
lantern_shield,Lantern shield,ランタンシールド,lantern buckler,shield,off_hand,round with lantern housing and often gauntlet spikes,fist / gauntlet,25-40,25-40,1.5-3.0,light,small,fist and wrist,steel with oil lamp,Italy,16C,historical,rare RPG oddity,左手籠手と盾と灯火を一体化した决斗・夜警具。実戦普及は限定的
madu,Madu,マドゥ,maru; horn parrying shield,shield,off_hand,small round plate with two antelope horns,fist,30-50,20-40 plus horns,0.8-1.5,very_light,small,wrist,steel dhal plus horns,India,Early Modern,historical,uncommon,受けと突きを兼ねるインドの補助盾
targe_scottish,Scottish targe,タージ（スコットランド）,target,shield,off_hand,round slightly convex,enarmes (two straps),45-55,45-55,2.0-3.5,light,small_to_medium,torso center,wood core leather-covered brass studs sometimes central spike,Scotland,16C-18C,both,TES Targe; Celtic RPG kits,ハイランドの円盾。バックラーより大きく腕紐。直径約50cmが典型
target_roundel,Target / roundel,ターゲット,rondache small,shield,off_hand,round,enarmes or fist,40-60,40-60,1.5-3.0,light,medium,chest,wood or steel,Western Europe,15C-17C,historical,Dark Souls Target Shield,英語 target は中型円盾。knightly heater と区別される
rotella,Rotella,ロテッラ,rondache,shield,off_hand,round convex,enarmes,50-70,50-70,2.0-4.5,medium,medium,torso,steel or wood-faced steel,Italy / Spain,15C-17C,historical,rapier-and-rotella manuals,ルネサンスの騎兵・剣士用円盾
dhal,Dhal,ダール,sipar; Indian round shield,shield,off_hand,round convex,two enarmes plus pad,20-60,20-60,1.0-4.0,light,small_to_medium,torso,steel or hide with bosses,South Asia / Iran,Medieval to Early Modern,historical,Indian RPG kits,ペルシャ・ムガル系。小はバックラー相当、大は直径60cm級
kalkan,Kalkan,カルカン,Ottoman cane shield,shield,off_hand,round convex,enarmes,40-70,40-70,1.5-3.5,light,medium,torso,wicker/cane with silk or leather facing,Ottoman / Central Asia,Medieval to Early Modern,historical,,軽く矢に強い。騎馬用
