good_name,source_line,recipe_alternatives,current_guild_domain,suggested_guild,suggested_individual_skill,skill_status,inference_basis
Tar,566,"Wood ×1 OR Resin ×0.75",,"Woodworkers' guild",tar making,proposed,"Wood/resin conversion is a specialist forest craft; no current craft-domain mapping."
Coal,603,"Wood ×1.5",,"Charcoal burners",charcoal burning,proposed,"The recipe models charcoal production from wood, rather than mined coal; no current craft-domain mapping."
Oil,615,"Olives ×1 OR Whales ×1",,"Pressers / oil renderers",oil pressing,proposed,"Both alternatives require pressing or rendering; no current craft-domain mapping."
Brick,702,"Clay ×1 + Wood ×0.1",,"Masons' guild",brickmaking,proposed,"Clay shaping and kiln firing support a masonry classification; no current craft-domain mapping."
Leather,740,"Cattle ×1 OR Game ×1 OR Horses ×0.5 OR Camels ×0.25",leather,"Tanners' guild",tanning,proposed,"Current leather guild-domain mapping; tanning is the practical individual specialization."
Cloth,752,"Wool ×1 OR Hemp ×1 OR Silk ×0.25 OR Cotton ×1",textiles,"Weavers' guild",weaving,declared-not-implemented,"Current textiles mapping and declared individual domain."
Garments,764,"Cloth ×1 + Dyes ×0.5 + Alum ×0.25 OR Linen ×0.75 + Dyes ×0.5 + Alum ×0.25 OR Cloth ×0.5 + Furs ×1",textiles,"Tailors' guild",tailoring,declared-not-implemented,"Current textiles mapping and declared individual domain; output is fitted clothing."
Ceramics,780,"Clay ×1",glassware,"Potters' guild",pottery,proposed,"Current implementation groups ceramics under glassware; the individual craft is pottery."
Glass,792,"White sand ×1 + Potash ×0.5",glassware,"Glassmakers' guild",glassblowing,proposed,"Current glassware mapping; sand plus potash identifies glassmaking."
Lime,806,"Stone ×1",masonry,"Masons' guild",lime burning,proposed,"Current masonry mapping; conversion of stone into lime is a kiln specialty."
Roman Concrete,820,"Volcanic Ash ×1 + Lime ×1",masonry,"Masons' guild",masonry,proposed,"Current masonry mapping; composition and construction use make masonry the dominant skill."
Ropes,832,"Hemp ×1 OR Reeds ×1",woodworking,"Ropemakers' guild",rope making,proposed,"Current woodworking mapping; fiber twisting is a separate practical specialization."
Paper,844,"Hemp ×1 OR Reeds ×1",printing,"Papermakers' guild",papermaking,proposed,"Current printing mapping; fiber pulp conversion is papermaking."
Ink,856,"Oil ×1 OR Dyes ×0.5",printing,"Scribes' / inkmakers' guild",ink making,proposed,"Current printing mapping; output is an input to written works."
Books,868,"Paper ×1 + Ink ×0.5 OR Leather ×1 + Ink ×0.5",printing,"Bookbinders' guild",bookbinding,proposed,"Current printing mapping; inputs identify writing and binding."
Sails,883,"Cloth ×1 OR Linen ×1",textiles,"Sailmakers' guild",weaving,declared-not-implemented,"Current textiles mapping; weaving is the declared base skill, with sailmaking as a future specialization."
Boots,934,"Leather ×1 OR Furs ×0.5",leather,"Cobblers' guild",cobbling,proposed,"Current leather mapping; fitted footwear requires a distinct leatherworking specialization."
Harnesses,946,"Leather ×0.5 + Iron Ingot ×0.25 OR Leather ×0.5 + Bronze ×0.25 OR Leather ×0.5 + Copper Ingot ×0.25",metallurgy,"Harness makers' guild",blacksmithing,implemented,"Current mapping is metallurgy; blacksmithing is implemented, though a later leatherworking secondary skill may refine this mixed recipe."
Barrels,962,"Wood ×1",woodworking,"Coopers' guild",cooperage,proposed,"Current woodworking mapping; barrels are the canonical cooperage output."
Bronze,974,"Copper Ingot ×0.5 + Coal ×1 OR Tin Ingot ×0.5 + Coal ×1",metallurgy,"Founders' guild",smelting,declared-not-implemented,"Current metallurgy mapping and declared smelting domain; alloying may later need a foundry specialization."
Tools,989,"Iron Ingot ×0.5 + Coal ×1 OR Bronze ×0.5 + Coal ×1",metallurgy,"Blacksmiths' guild",blacksmithing,implemented,"Current metallurgy mapping; forged tools are directly covered by blacksmithing."
Arms,1004,"Iron Ingot ×0.5 + Coal ×1 + Leather ×0.5 OR Bronze ×0.5 + Coal ×1 + Leather ×0.5",metallurgy,"Armorers' guild",blacksmithing,implemented,"Current metallurgy mapping; blacksmithing is primary, with leatherwork a future secondary input skill."
Arrows,1022,"Wood ×0.4 + Iron Ingot ×0.1",woodworking,"Fletchers' guild",fletching,proposed,"Current woodworking mapping; the wood-dominant recipe identifies fletching."
Gunpowder,1034,"Saltpeter ×0.5 + Sulfur ×0.25 + Coal ×0.5",,"State arsenal / pyrotechnics secret",pyrotechnics,out-of-scope,"The code treats pyrotechnics as a state-secret domain, not a city craft guild."
Bullets,1049,"Lead Ingot ×1",metallurgy,"Founders' guild",metal casting,proposed,"Current metallurgy mapping; lead shot is casting rather than forged blacksmithing."
Artillery,1061,"Iron Ingot ×2 + Coal ×1 OR Bronze ×1 + Coal ×1",,"State arsenal / artillery foundry",artillery casting,out-of-scope,"No current city-guild mapping; military production should connect to the state-secret and arsenal systems first."
Jewelry,1087,"Gemstones ×1 + Gold Ingot ×0.5 OR Pearls ×1 + Gold Ingot ×0.5 OR Amber ×2 + Gold Ingot ×0.5 OR Ivory ×1 + Gold Ingot ×0.5 OR Coral ×1 + Gold Ingot ×0.5 OR Gemstones ×1 + Silver Ingot ×1 OR Pearls ×1 + Silver Ingot ×1 OR Amber ×2 + Silver Ingot ×1 OR Ivory ×1 + Silver Ingot ×1 OR Coral ×1 + Silver Ingot ×1",,"Goldsmiths' guild",goldsmithing,proposed,"Precious-metal and luxury-material finishing is distinct from mass metallurgy; no current craft-domain mapping."
Preserved food,1109,"Fish ×1 + Salt ×1 OR Shellfish ×1 + Salt ×1 OR Cattle ×0.25 + Salt ×1 OR Game ×1 + Salt ×1 OR Sheep ×1 + Salt ×1 OR Pig ×1 + Salt ×1 OR Fish ×1 + Vinegar ×0.5 OR Cattle ×0.25 + Vinegar ×0.5 OR Game ×1 + Vinegar ×0.5 OR Sheep ×1 + Vinegar ×0.5 OR Pig ×1 + Vinegar ×0.5 OR Fish ×1 + Wood ×1",,"Preservers' guild",food preservation,proposed,"All alternatives preserve perishable animal foods; no current craft-domain mapping."
Vinegar,1133,"Wine ×1 OR Honey ×1",,"Vinegar makers",fermentation,proposed,"Inputs imply controlled fermentation; no current craft-domain mapping."
Cheese,1144,"Cattle ×0.5 + Salt ×0.25 OR Sheep ×0.5 + Salt ×0.25 OR Goats ×0.5 + Salt ×0.25 OR Sheep ×0.5 + Vinegar ×0.25 OR Cattle ×0.5 + Vinegar ×0.25 OR Goats ×0.5 + Vinegar ×0.25",,"Cheesemakers' guild",cheesemaking,proposed,"Milk-animal inputs and preservative identify dairy processing; no current craft-domain mapping."
Egg,1163,"Chicken ×1",,"Poultry keepers",poultry keeping,proposed,"This is a husbandry output, not an urban manufacturing guild; no current craft-domain mapping."
Beer,1174,"Grain ×1 + Barrels ×1 OR Honey ×0.5 + Barrels ×1",,"Brewers' guild",brewing,proposed,"Fermentable inputs and storage containers identify brewing; no current craft-domain mapping."
Liquor,1188,"Grain ×2 + Wood ×1 + Barrels ×0.5 OR Wine ×1 + Wood ×1 + Barrels ×0.5 OR Grain ×2 + Wood ×1 + Ceramics ×0.25 OR Wine ×1 + Wood ×1 + Ceramics ×0.25 OR Grain ×2 + Wood ×1 + Glass ×0.25 OR Wine ×1 + Wood ×1 + Glass ×0.25",,"Distillers' guild",distilling,proposed,"All alternatives produce an alcoholic luxury good; vessels are packaging inputs."
Candles,1206,"Honey ×2 OR Oil ×1 OR Beeswax ×1 OR Tallow ×1",,"Chandlers' guild",chandlery,proposed,"Wax, tallow, and oil are candle-making inputs; no current craft-domain mapping."
Soap,1217,"Olives ×1 + Potash ×0.3 OR Cattle ×1 + Potash ×0.3 OR Tallow ×1 + Potash ×0.3",,"Soapmakers' guild",soapmaking,proposed,"Fat or oil combined with potash identifies saponification; no current craft-domain mapping."
Perfume,1232,"Olives ×1 + Incense ×0.25 + Glass ×0.5 OR Olives ×1 + Game ×2 + Glass ×0.5 OR Liquor ×0.25 + Incense ×0.25 + Whales ×0.5 + Ceramics ×0.5",,"Perfumers' guild",perfumery,proposed,"Luxury aromatic inputs and small containers identify perfumery; no current craft-domain mapping."
Wool,1357,"Sheep ×1",,"Shearers / wool sorters",wool processing,proposed,"This is a pastoral raw-material step before weaving; no current craft-domain mapping."
Linen,1382,"Flax ×1",,"Spinners' guild",spinning,proposed,"Flax is converted into a textile intermediate before cloth weaving; no current craft-domain mapping."
Tallow,1406,"Cattle ×0.4 OR Sheep ×0.5 OR Pig ×0.5 OR Goats ×0.5",,"Renderers' guild",rendering,proposed,"Animal-fat extraction is a food/by-product processing craft; no current craft-domain mapping."
Beeswax,1418,"Honey ×0.5",,"Beekeepers",beekeeping,proposed,"Bee product separation is a husbandry activity; no current craft-domain mapping."
Flour,1431,"Grain ×1",,"Millers' guild",milling,proposed,"Grain conversion is milling; no current craft-domain mapping."
Bread,1444,"Flour ×1",,"Bakers' guild",baking,proposed,"Flour conversion is baking; no current craft-domain mapping."
Timber,1457,"Wood ×1.5",,"Carpenters' guild",carpentry,proposed,"Current woodworking domain is the natural fit; carpentry is named in the design but not yet declared in the skill type."
Potash,1484,"Wood ×2",,"Ash burners",ash processing,proposed,"Wood ash processing is a prerequisite industry for glass and soap; no current craft-domain mapping."
Ivory,1497,"Elephants ×0.2",,"Ivory carvers' guild",ivory carving,proposed,"Animal-material recovery and finishing form a luxury craft; no current craft-domain mapping."
