id,name_en,name_ja,alt_names,slot,occupies,shape,grip,height_cm,width_or_diameter_cm,weight_kg,weight_class,size_class,coverage,construction,origin_region,period,attestation,rpg_examples,notes
spiked_shield,Spiked shield,スパイクシールド,punching shield,shield,off_hand,round or heater with central spike,fist or enarmes,30-70,30-60,1.5-4.0,light,small_to_medium,forearm,wood/steel with spike,various,various,rpg_common,D&D spiked shield; TES,歴史上はボスやタージのスパイクが近い。RPGでは攻撃判定付きオフハンド
tower_shield,Tower shield,タワーシールド,great shield; full body,shield,off_hand or planted,tall rectangle,enarmes or center,120-180,50-80,8.0-16.0,very_heavy,large,full body,wood/metal (game),RPG composite,n/a,rpg_common,D&D tower shield; DQ タワーシールド; Dark Souls Greatshield,歴史上の単一名ではない。スクトゥム・パヴィース・体盾をRPGが合成。重量ペナルティが大きいゲーム数値になりやすい
greatshield,Greatshield,グレートシールド,heavy shield,shield,off_hand,various large,enarmes,100-160,50-80,8.0-18.0,very_heavy,large,torso to shin,wood/metal,rpg,n/a,rpg_common,Dark Souls Greatshields,タワーシールドの別称。歴史重量の上限付近かそれ以上のゲーム値
leather_shield,Leather shield,レザーシールド,hide shield generic,shield,off_hand,round or oval,varies,50-80,50-80,1.5-3.5,light,medium,torso,hide,universal,universal,rpg_common,DQ/FF 皮の盾,RPG品質帯の低段。歴史的には皮張り木芯が実体
wooden_shield,Wooden shield,ウッドシールド,plank shield,shield,off_hand,round or heater,varies,60-90,50-80,2.5-5.0,medium,medium,torso,wood,universal,universal,rpg_common,starter shield,RPG初期盾。実在円盾・ヒーターの簡易名
bronze_shield,Bronze shield,ブロンズシールド,hoplite analog,shield,off_hand,round,armband,70-100,70-100,5.0-8.0,heavy,large,torso,bronze face,Mediterranean,Bronze-Iron Age,rpg_common,FF ブロンズの盾,アスピスのRPG略称になりやすい
iron_shield,Iron shield,アイアンシールド,,shield,off_hand,heater or round,enarmes,50-80,40-70,3.0-6.0,medium,medium,torso,iron-faced,rpg,Medieval analog,rpg_common,DQ 鉄の盾,材質接頭辞
steel_shield,Steel shield,スチールシールド,plate shield,shield,off_hand,heater or round,enarmes,50-75,40-60,3.0-7.0,medium,medium,torso,steel,rpg,Late Medieval analog,rpg_common,DQ 鋼の盾,実在の全鋼ヒーターは重い。木芯鉄縁が普通
mythril_shield,Mythril shield,ミスリルシールド,mithril shield,shield,off_hand,heater or round,enarmes,n/a,n/a,game-light,light,medium,torso,fantasy metal,fantasy,n/a,rpg_common,FF/DQ ミスリルの盾,品質帯。重量はゲーム内で軽く設定されがち
holy_shield,Holy shield,ホーリーシールド,sacred shield,shield,off_hand,heater,enarmes,50-70,40-55,2.0-4.0,light,medium,torso,fantasy,fantasy,n/a,rpg_common,DQ 聖なる盾,宗教騎士幻想。固有のアイギスは mythology/01-shields.csv
dragon_shield,Dragon shield,ドラゴンシールド,,shield,off_hand,heater or kite,enarmes,60-100,45-70,3.0-8.0,medium,medium,torso,dragonhide/scale fantasy,fantasy,n/a,rpg_common,DQ/FF,素材ファンタジー
mirror_shield,Mirror shield,ミラーシールド,reflect shield,shield,off_hand,round polished,enarmes,40-70,40-70,2.0-5.0,medium,medium,torso,polished metal,fantasy / rare parade,n/a,rpg_common,Zelda; DQ ミラーシールド,光線反射のゲーム効果。儀礼の磨地金盾がイメージ源
spike_pavise,Spiked pavise,スパイクパヴィース,,shield,off_hand,tall rectangle with spike,enarmes,100-140,50-70,8.0-14.0,very_heavy,large,full body,wood/metal,rpg,n/a,rpg_common,Dark Souls,攻撃付き大盾のゲーム型
