id,name_en,name_ja,alt_names,slot,occupies,handedness,category,typical_length_cm,typical_weight_kg,origin_region,period,attestation,tradition,associated_figure,source_text,rpg_examples,notes
harpe,Harpe,ハルペー,harpe sickle-sword,main_hand,main_hand,1H,sickle-sword,n/a,n/a,Greece,Archaic myth,mythology,Greek,Perseus; Kronos; Hermes,Hesiod; Apollodorus,God of War; Clash of the Titans,鎌状の湾曲剣。クロノスがウラノスを、ペルセウスがメドゥサを斬る。コペシュに近いイメージ
excalibur,Excalibur,エクスカリバー,Caliburn; Caledfwlch; Caliburnus; Escalibor,main_hand,main_hand,1H,arming_or_long,n/a,n/a,Britain,Medieval legend,epic,Arthurian,Arthur,Geoffrey of Monmouth; Vulgate Cycle; Malory,FF; DQ; SoulCalibur,王権の剣。湖の乙女から授与される系統と石から抜く系統が混線。鞘の方が傷を防ぐとする話が強い
sword_in_the_stone,Sword in the Stone,石に刺さった剣,Sword of the Stone,main_hand,main_hand,1H,arming,n/a,n/a,Britain,Medieval legend,epic,Arthurian,Arthur,Robert de Boron; later cycles,Disney; many RPGs,後期伝承ではエクスカリバーと別物。抜いた者が王になる選定剣
clarent,Clarent,クラレント,sword of peace,main_hand,main_hand,1H,ceremonial,n/a,n/a,Britain,Medieval legend,epic,Arthurian,Arthur; Mordred,Alliterative Morte Arthure,rare,叙任・儀礼用。モルドレッドが盗みアーサーを刺す
galatine,Galatine,ガラティーン,Galatin,main_hand,main_hand,1H,knightly,n/a,n/a,Britain,Medieval legend,epic,Arthurian,Gawain,French prose cycles,Fate; some RPGs,ガウェインの剣。太陽とともに力が増す伝承と結びつくことがある
arondight,Arondight,アロンダイト,Aroundight,main_hand,main_hand,1H,knightly,n/a,n/a,Britain / France,Medieval legend,epic,Arthurian,Lancelot,later romance,Fate; FF-adjacent,ランスロットの剣として後世に定着した名
caledfwlch,Caledfwlch,カレドヴールフ,see Excalibur,main_hand,main_hand,1H,knightly,n/a,n/a,Wales,Medieval Welsh,epic,Welsh Arthurian,Arthur,Culhwch and Olwen,n/a,ウェールズ側の原型名。カラドボルグとの関係が議論される
dyrnwyn,Dyrnwyn,デルンウィン,White-Hilt,main_hand,main_hand,1H,flaming_sword,n/a,n/a,Wales,Medieval Welsh,mythology,Welsh Triads,Rhydderch Hael,Thirteen Treasures of the Island of Britain,rare,抜くと炎。正しき者以外は焼かれる
caladbolg,Caladbolg,カラドボルグ,Caladcholg; lightning sword,two_hand,main_hand+off_hand,2H,greatsword,n/a,n/a,Ireland,Medieval Irish,mythology,Ulster Cycle / Mythological Cycle,Fergus mac Róich; Nuada,Táin Bó Cúailnge,Fate,丘を平らに斬る。エクスカリバーの語源候補の一つ
fragarach,Fragarach,フラガラッハ,Answerer; Retaliator,main_hand,main_hand,1H,sword,n/a,n/a,Ireland,Medieval Irish,mythology,Mythological Cycle,Manannán; Lugh; Conn of the Hundred Battles,Irish mythological cycle,D&D-adjacent names,風を起こし、喉に突きつけると嘘をつけない。誰の鎧も貫く
claioomh_solais,Claíomh Solais,クラウ・ソラス,Sword of Light,main_hand,main_hand,1H,shining_sword,n/a,n/a,Ireland / Scotland,folktale,folklore,Gaelic folktale,various heroes,Irish/Scottish wonder tales,Secret of Kells-adjacent; RPGs,光の剣。民話で巨人や魔女から奪う定型
orna,Orna,オルナ,,main_hand,main_hand,1H,sword,n/a,n/a,Ireland,Medieval Irish,mythology,Mythological Cycle,Tethra; Ogma,Cath Maige Tuired,rare,死者の数を語るフォモールの剣。オグマが得る
mac_an_luin,Mac an Luin,マク・アン・ルイン,Son of the Waves,main_hand,main_hand,1H,sword,n/a,n/a,Ireland,Fenian,epic,Fenian Cycle,Fionn mac Cumhaill,Fenian lays,rare,フィンの愛剣
moralltach,Moralltach,モラールタハ,Great Fury,main_hand,main_hand,1H,sword,n/a,n/a,Ireland,Fenian,epic,Fenian Cycle,Diarmuid Ua Duibhne,Tóraigheacht Dhiarmada agus Ghráinne,rare,マンナーンから授かった大剣。一撃必殺
beagalltach,Beagalltach,ベガールタハ,Little Fury,main_hand,main_hand,1H,short_sword,n/a,n/a,Ireland,Fenian,epic,Fenian Cycle,Diarmuid Ua Duibhne,same,rare,小剣。日常用で、大剣を持たず死ぬ話と結びつく
gram,Gram,グラム,Gramr; Balmung; Nothung,main_hand,main_hand,1H,migration_sword,n/a,n/a,Scandinavia / Germany,Medieval,epic,Völsunga / Nibelungen,Odin; Sigmund; Sigurd/Siegfried,Völsunga saga; Nibelungenlied; Wagner,FF グラム; Fate,オーディンが樹に刺した選定剣。ファーヴニルを屠る。独ではバルムンク
tyrfing,Tyrfing,ティルヴィング,Tirfing,main_hand,main_hand,1H,cursed_sword,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Svafrlami; Angantyr; Hervor,Hervarar saga,rare RPGs,ドワーフが鍛えた。抜くと人を殺し、三つの禍をなす呪い
dainsleif,Dáinsleif,ダーインスレイフ,Dain's legacy,main_hand,main_hand,1H,cursed_sword,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Högni,Skáldskaparmál,FF-adjacent,抜くと死人が出るまで収められない。傷は癒えない
skofnung,Skofnung,スコフヌング,,main_hand,main_hand,1H,sword,n/a,n/a,Scandinavia,Medieval,epic,Norse saga,Hrólfr Kraki,Hrólfs saga kraka; Landnámabók,rare,デンマーク王の剣。刃に従士の魂が宿る。鞘から離すな・女に触れるな等の戒め
freyrs_sword,Freyr's sword,フレイの剣,Sumarbrandr (modern label),main_hand,main_hand,1H,self_fighting,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Freyr,Skírnismál; Gylfaginning,God of War; SMITE,自ら戦う剣。ゲルズへの求婚のため失い、ラグナロクで無武装になる
laevateinn,Lævateinn,レーヴァテイン,wounding wand; sometimes Surtr's fire-sword,main_hand,main_hand,1H,wand_or_sword,n/a,n/a,Scandinavia,Medieval,mythology,Norse,Loki; Surtr (later ID),Fjölsvinnsmál,FF レーヴァテイン,詩では杖／剣が曖昧。後世がスルトの炎剣と同一視
angurvadal,Angurvadal,アングルヴァダル,Stream of Anguish,main_hand,main_hand,1H,rune_sword,n/a,n/a,Scandinavia,Medieval,epic,Norse saga,Víkingr; Þorsteinn; Friðþjófr,Þorsteins saga; Friðþjófs saga,rare,戦時にルーンが輝き、平時は薄く光る
hrunting,Hrunting,フルンティング,,main_hand,main_hand,1H,sword,n/a,n/a,England,Early Medieval,epic,Anglo-Saxon,Unferth; Beowulf,Beowulf,rare,ウンフェルスが貸す。グレンデルの母には効かない
naegling,Nægling,ナイリング,,main_hand,main_hand,1H,sword,n/a,n/a,England,Early Medieval,epic,Anglo-Saxon,Beowulf,Beowulf,rare,竜戦で折れる古剣
beowulf_giant_sword,Giant's sword (Beowulf),巨人の剣,eotenisc sword,two_hand,main_hand+off_hand,2H,giant_blade,n/a,n/a,England,Early Medieval,epic,Anglo-Saxon,Beowulf,Beowulf,Souls giant weapons analog,湖底の巨人剣。グレンデルの母を屠るが血で刃が溶ける
mimung,Mimung,ミムング,Mimmung,main_hand,main_hand,1H,smith_sword,n/a,n/a,Germany / Scandinavia,Medieval,epic,Germanic,Weland / Völundr; Wittich,Þiðrekssaga,rare,ウェイランドが鍛えた
durandal,Durandal,デュランダル,Durendal; Durlindana,main_hand,main_hand,1H,knightly,n/a,n/a,France,Medieval,epic,Carolingian,Roland,Chanson de Roland,FF デュランダル,聖遺物を柄に封じたという。ロンスヴォーで岩を裂く
joyeuse,Joyeuse,ジョワイユーズ,Charlemagne's sword,main_hand,main_hand,1H,knightly,n/a,n/a,France,Medieval,epic,Carolingian,Charlemagne,chansons de geste; later inventories,rare RPGs,シャルルマーニュの剣。ルーヴルの儀礼剣は後世の寄せ集め
hauteclere,Hauteclere,オートクレール,Halteclere,main_hand,main_hand,1H,knightly,n/a,n/a,France,Medieval,epic,Carolingian,Olivier,Chanson de Roland,rare,オリヴィエの剣。水晶の柄
almace,Almace,アルマス,Almice; Almacia,main_hand,main_hand,1H,knightly,n/a,n/a,France,Medieval,epic,Carolingian,Turpin,Chanson de Roland,rare,トゥルパン大司教の剣
courtain,Courtain,クルタン,Cortain; Curtana,main_hand,main_hand,1H,shortened,n/a,n/a,France / England,Medieval,epic,Carolingian,Ogier the Dane,chansons; English regalia,rare,先が折れた／短い剣。英国儀礼のカートゥアナと結びつく
murgleis,Murgleis,ミュルグレイス,Murgleys,main_hand,main_hand,1H,knightly,n/a,n/a,France,Medieval,epic,Carolingian,Ganelon,Chanson de Roland,rare,ガヌロンの剣
tizona,Tizona,ティソナ,,main_hand,main_hand,1H,knightly,n/a,n/a,Iberia,Medieval,epic,Spanish epic,El Cid,Cantar de mio Cid,rare,エル・シドの剣。現物主張は後世
colada,Colada,コラーダ,,main_hand,main_hand,1H,knightly,n/a,n/a,Iberia,Medieval,epic,Spanish epic,El Cid,Cantar de mio Cid,rare,ティソナと対の名剣
kusanagi,Kusanagi-no-Tsurugi,草薙剣,Ame-no-Murakumo-no-Tsurugi; Kusanagi,main_hand,main_hand,1H,straight_sacred,n/a,n/a,Japan,Kojiki-Nihon Shoki,mythology,Shinto,Susanoo; Yamato Takeru; Imperial house,Kojiki; Nihon Shoki,FF クサナギ; many jRPGs,八岐大蛇の尾から出た天叢雲剣。日本武尊が草を薙ぎ火を払う。三種の神器
totsuka,Totsuka-no-Tsurugi,十拳剣,Ame-no-Habakiri; Totsuka,main_hand,main_hand,1H,straight_sacred,n/a,n/a,Japan,Kojiki-Nihon Shoki,mythology,Shinto,Susanoo; Izanagi,Kojiki,Naruto-adjacent popular,拳十握りの神剣。スサノオが八岐大蛇を斬る（天羽々斬）
